lact mact group speed pexp phalf pintmean pintmedian
 1190 50 1 0.2003774       NA  866.7060 NA NA
 1190 50 2 0.1992625 2103.972 1169.4897 NA NA
 1190 50 3 0.1998515 1871.436 1181.5262 NA NA
 1190 50 4 0.1992722 1864.531  864.0602 NA NA
 1190 50 5 0.2011595       NA  977.6897 NA NA
 1190 50 6 0.1996667 1663.329  821.2292 NA NA
 1190 55 1 0.1913658       NA 1060.3341 NA NA
 1190 55 2 0.1900724       NA 1285.0234 NA NA
 1190 55 3 0.1921160 1952.219 1220.9385 NA NA
 1190 55 4 0.1937024       NA  891.5825 NA NA
 1190 55 5 0.1911487       NA 2357.1682 NA NA
 1190 55 6 0.1913772 1925.323  858.2899 NA NA
